"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTVIEWEDDATE","LASTREFERENCEDDATE","ASSESSMENT_TYPE__C","DESCRIPTION__C","SORT_ORDER__C","EXTERNAL_ID__C","HEADER__C"
"a0X110000005KaFEAU","005U0000001BHukIAG","false","Acculturation Domain","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","All children are members of some identifiable cultural group. These ratings describe possible
problems that children or adolescents may experience with the relationship between their
cultural membership and the predominant culture in which they live.
For Acculturation the following categories and action levels are used:
0 = a dimension where there is no evidence of any needs.
1 = a dimension that requires monitoring, watchful waiting, or preventive activities.
2 = a dimension that requires action to ensure that this identified need or risk behavior is
addressed.
3 = a dimension that requires immediate or intensive action.","50.0","qd1",""
"a0X110000005KaGEAU","005U0000001BHukIAG","false","Child Behavioral/Emotional Needs Domain","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","All children are members of some identifiable cultural group. These ratings describe possible
problems that children or adolescents may experience with the relationship between their
cultural membership and the predominant culture in which they live.
For Acculturation the following categories and action levels are used:
0 = a dimension where there is no evidence of any needs.
1 = a dimension that requires monitoring, watchful waiting, or preventive activities.
2 = a dimension that requires action to ensure that this identified need or risk behavior is
addressed.
3 = a dimension that requires immediate or intensive action.","60.0","qd2",""
"a0X110000005KaHEAU","005U0000001BHukIAG","false","Ratings of Children Five Years Old and Younger","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","The following items are required for any child who is five years old or younger or
developmentally disabled (DD); however, they may be rated for any child if they represent a
need for a specific youth. The N/A option is generally used for items in this domain when a
child is older than five years old AND the item does not represent a specific need for the
youth.","80.0","qd8",""
"a0X110000005KaIEAU","005U0000001BHukIAG","false","Caregiver Needs and Strengths","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","These ratings should be done with a focus on permanency plan caregivers. However, when a
temporary placement is impacting a child?s functioning the temporary caregivers can be
scored. Caregiver ratings should be completed by household. If multiple households are
involved in the permanency planning, then this section should be completed once for each
household under consideration.
For Caregiver Needs and Strengths the following definitions and action levels apply:
0 = a dimension where there is no evidence of any needs. This is a strength.
1 = a dimension that requires monitoring, watchful waiting, or preventive activities.
2 = a dimension that requires action to ensure that this identified need or risk behavior is
addressed.
3 = a dimension that requires immediate or intensive action.","100.0","qd3",""
"a0X110000005Ka9EAE","005U0000001BHukIAG","false","Life Functioning Domain","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","2014-03-12T19:20:18.000Z","2014-03-12T19:20:18.000Z","","These ratings describe how children and adolescents are doing in their various environments or life domains. The domains were identified from the children?s research literature on wraparound philosophy. Functioning well in all life domains is the goal of a lifetime developmental framework.

For Life Functioning Domains the following categories and action levels are used:
0 = a life domain in which the child has no need (and may be excelling). There is no need for
action/intervention.
1 = a life domain in which the child may have a mild need but is generally doing OK. A score
of 1 indicates that this is an area for watchful waiting, a potential need for preventative
action or historical need. This is an area of potential strength.
2 = a life domain in which the child is having moderate problems. Action/intervention is
needed to improve functioning into an area of strength.
3 = a life domain in which the child has significant problems. Immediate or intensive
intervention is needed to improve functioning.","40.0","qd4",""
"a0X110000005KaAEAU","005U0000001BHukIAG","false","Transition into Adulthood","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","The following items are required for youth 14 years, 6 months, and older. However, any of
these items can be rated regardless of age if they represent a need for a specific youth. The
N/A option is generally used for items in this domain when a child is young than 14 years, 6
months, AND the item does not represent a specific need for the youth.","90.0","qd9",""
"a0X110000005KaBEAU","005U0000001BHukIAG","false","Child Risk Behaviors Domain","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","Risk behaviors are the types of things that can get children and adolescents in trouble or put
them in danger of harming themselves or others. Notice that the time frames for the ratings
change, particularly for the ?1? and ?3? ratings away from the standard 30 day rating window.
For Risk Behaviors the following categories and action levels are used:
0 = a dimension where there is no evidence of any needs.
1 = a dimension that requires monitoring, watchful waiting, or preventive activities.
2 = a dimension that requires action to ensure that this identified need or risk behavior is
addressed.
3 = a dimension that requires immediate or intensive action.","70.0","qd5",""
"a0X110000005KaCEAU","005U0000001BHukIAG","false","Exposure to Potentially Traumatic/Adverse Childhood Experiences Domain","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","These ratings are made based on LIFETIME exposure of trauma or adverse childhood experiences.

For this domain, the following categories and action levels are used:

0 = a dimension where there is no evidence of any trauma of this type.

1 = a dimension where a single incident of trauma occurred or suspicion exists of this trauma type.

2 = a dimension where the child has experienced multiple incidents or moderate degree of this trauma type.

3 = a dimension which describes repeated and severe incidents of trauma with medical / physical consequences.","10.0","qd6",""
"a0X110000005KaDEAU","005U0000001BHukIAG","false","Symptoms Resulting from Exposure to Trauma or Other Adverse Childhood Experience","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","These ratings describe a range of reactions that children and adolescents may exhibit in response to any of the variety of traumatic experiences described in the above domain. Unlike the Trauma Experiences, which are cumulative over the child?s lifetime, these symptoms are rated based on how the child is doing over the past 30 days.


For Trauma Stress Symptoms, , the following categories and action levels are used:
0 = a dimension where there is no evidence of any needs.
1 = a dimension that requires monitoring, watchful waiting, or preventive activities.
2 = a dimension that requires action to ensure that this identified need or risk behaviors is addressed.
3 = a dimension that requires immediate or intensive action.","20.0","qd10",""
"a0X110000005KaEEAU","005U0000001BHukIAG","false","Child Strengths Domain","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","005U0000001BHukIAG","2014-02-28T00:24:22.000Z","","","","These ratings describe a range of assets that children and adolescents may possess that can
facilitate healthy development. An absence of a strength is not necessarily a need but an
indication that strength building activities are indicated. In general strengths are more traitlike,
stable characteristics; however, the 30 day rating window still applies unless over-ridden
by the action levels described below:
0 = a well-developed or centerpiece strength. This area may be able to be used as a
protective factor and a centerpiece for a strength-based plan.
1 = an area where a useful strength is evident but requires some effort to maximize this
strength. This is a strength that might be able to be used and built upon in treatment.
2 = an area where strengths have been identified but require significant strength-building
efforts.
3 = an area where no current strength is identified; there is no evidence of a strength in this
area.
*When you have no information/evidence about a strength in this area use a score of 3.","30.0","qd7",""
"a0X110000005KaJEAU","005U0000001BHukIAG","false","Financial","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","Does the person understand what financial abuse/exploitation may involve?  Would they give away all of their money or possessions because someone was their new 'friend' or because their family member said they should? Would they easily be at risk of eviction or termination of services due to financial exploitation? Do they know who to go to if someone has taken their money or belongings?
Describe training for the person to reduce the risk, specific verbal and/or physical assistance to ensure safekeeping of money, procedures for auditing financial records to ensure accuracy and reduce likelihood of financial exploitation, etc.","13.0","a0XJ0000001ONcPMAW","Abuse"
"a0X110000005KaKEAU","005U0000001BHukIAG","false","Allergies","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","Define specific allergies and reactions to them. If it is likely the person will go into anaphylactic shock, requiring emergency services or medical procedures, indicate the risk.  If the person gets periodic hay fever, it is likely not a life threatening risk but still a risk and a plan should be developed.
Describe how exposure to allergens will be prevented and the actions to take if exposure occurs.","2.0","a0XJ0000001ONcEMAW","Health"
"a0X110000005KaLEAU","005U0000001BHukIAG","false","Health Conditions/Medical Treatment","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","What specific diagnoses does the person have which place them at risk in any of the areas listed? For example, history of bowel obstruction, no teeth, diabetes and the person does not follow dietary plan, refusal to drink fluids, history of aspiration, high cholesterol, gluten restrictions, etc.
Include description of altered diet and dining plan (methodology to be implemented when the person is eating, including positioning, special/adaptive equipment, location and actions of staff persons, etc.), as applicable.","4.0","a0XJ0000001ONcGMAW","Health"
"a0X110000005KaMEAU","005U0000001BHukIAG","false","Physical Limitations","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","Define the specific physical limitations which would cause the person to be at risk, such as: use of wheelchair, walking on uneven surfaces, use of escalators, prone to falling, use of stairs, use of utensils/small objects. If a specific physical diagnosis exists which poses a risk include that as well.
Describe physical assistance required for ambulation, transfer or other movement.  List environmental modifications, mobility devices (wheelchair, walker, crutches, etc.) and any other adaptive equipment used.  Describe process to ensure equipment is used and maintained and that the person and/or staff persons know how to use correctly.","1.0","a0XJ0000001ONcDMAW","Health"
"a0X110000005KaNEAU","005U0000001BHukIAG","false","Additional Areas of Concern","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","005U0000001BHukIAG","2014-02-28T00:24:23.000Z","","","a0cJ0000002kcpIIAQ","This area would be used to include any risk areas of the person which are not defined or asked in other sections of this assessment.
Describe training for the person to reduce the risk and specific verbal and/or physical assistance to ensure safety.","16.0","a0XJ0000001ONcSMAW","Other"
