"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","QUESTION__C","COLOR__C","RATING_DESCRIPTION__C","RATING__C","SCORE__C","QT__C","SHOW_EXTRA_FIELDS__C","SHOW_THESE_FIELDS__C","SORT_ORDER__C"
"a0Y110000008xkPEAQ","false","3961","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","005U0000001BHukIAG","2014-02-28T00:24:52.000Z","a0Z11000000D339EAC","orange","This rating is given to a child with moderate regressions in age-level of behavior including loss of ability to engage with peers, stopping play or exploration in environment that was previously evident, or occasional bedwetting.","2","2.0","BEHAVIORAL REGRESSIONS","false","",""
"a0Y110000008xlfEAA","false","4039","2014-02-28T00:24:57.000Z","005U0000001BHukIAG","2014-02-28T00:24:57.000Z","005U0000001BHukIAG","2014-02-28T00:24:57.000Z","a0Z11000000D33LEAS","orange","Moderate level of problematic social behaviors. Child may be intentionally getting in trouble in school or at home and the sanctions or threat of sanctions that result are causing problems in the child?s life.","2","2.0","INTENTIONAL MISBEHAVIOR","false","",""
"a0Y110000008xlgEAA","false","4040","2014-02-28T00:24:57.000Z","005U0000001BHukIAG","2014-02-28T00:24:57.000Z","005U0000001BHukIAG","2014-02-28T00:24:57.000Z","a0Z11000000D33LEAS","red","Severe level of problematic social behaviors. This would be indicated by frequent, seriously inappropriate social behavior that forces adults to seriously and/or repeatedly sanction the child.
Social behaviors are sufficiently severe (cause harm to others) that they place the child at risk of
significant sanctions (e.g., expulsion, removal from the community).","3","6.0","INTENTIONAL MISBEHAVIOR","false","",""
"a0Y110000008xlhEAA","false","4041","2014-02-28T00:24:57.000Z","005U0000001BHukIAG","2014-02-28T00:24:57.000Z","005U0000001BHukIAG","2014-02-28T00:24:57.000Z","a0Z11000000D33mEAC","green","There is no evidence that child has experienced neglect.","0","0.0","NEGLECT","false","",""
"a0Y110000008xliEAA","false","4042","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33mEAC","yellow","Child has experienced minor or occasional neglect. Child may have been left at home alone for a short period of time with no adult supervision or there may be occasional failure to provide adequate supervision of child.","1","1.0","NEGLECT","false","",""
"a0Y110000008xljEAA","false","4043","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33mEAC","orange","Child has experienced a moderate level of neglect. Child may have been left home alone overnight or there may be occasional failure to provide adequate food, shelter, or clothing with corrective action.","2","2.0","NEGLECT","false","",""
"a0Y110000008xlkEAA","false","4044","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33mEAC","red","Child has experienced a severe level of neglect including multiple and/or prolonged absences by adults, without minimal supervision, and failure to provide basic necessities of life on a regular basis.","3","6.0","NEGLECT","false","",""
"a0Y110000008xllEAA","false","4045","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33MEAS","green","No evidence of problems with sexually reactive behaviors or high-risk sexual behaviors.","0","0.0","SEXUALLY REACTIVE BEHAVIORS","false","",""
"a0Y110000008xlmEAA","false","4046","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33MEAS","yellow","Some evidence of sexually reactive behavior. Child may exhibit occasional inappropriate sexual language or behavior, flirts when age-inappropriate, or engages in unprotected sex with single partner. This behavior does not place child at great risk. A history of sexually provocative
behavior would be rated here.","1","1.0","SEXUALLY REACTIVE BEHAVIORS","false","",""
"a0Y110000008xlnEAA","false","4047","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","005U0000001BHukIAG","2014-02-28T00:24:58.000Z","a0Z11000000D33MEAS","orange","Moderate problems with sexually reactive behavior that place child at some risk. Child may exhibit more frequent sexually provocative behaviors in a manner that impairs functioning, engage in promiscuous sexual behaviors or have unprotected sex with multiple partners.","2","2.0","SEXUALLY REACTIVE BEHAVIORS","false","",""
