"ID","NAME","FACILITYID__C","PROGRAM_CODE__C","PROGRAM_VALUE__C","SERVICE_CODE__C","SERVICE_VALUE__C","STATE__C","AVATAR_UPLOAD_ID__C","LOCATION__C","PROGRAM__C","SERVICE_LINE__C","ASSESSMENT_ONLY__C","END_DATE__C","START_DATE__C"
"a0NU0000009rYE8MAM","SC-001710","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H0031HO","H0031HO-In-Depth New","FL","10-9999991090-H0031HO","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYE9MAM","SC-001711","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H0031TS","H0031TS-In-Depth Est","FL","10-9999991090-H0031TS","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYEAMA2","SC-001712","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H0031TS","H0031TS-In-Depth Est","FL","10-9999991090-H0031TS","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYEBMA2","SC-001713","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H0032","H0032-Development of Individualized Treatment Plan","FL","10-9999991090-H0032","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYECMA2","SC-001714","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H0032","H0032-Development of Individualized Treatment Plan","FL","10-9999991090-H0032","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYEDMA2","SC-001715","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H0032TS","H0032TS-Treatment Plan Review","FL","10-9999991090-H0032TS","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYEEMA2","SC-001716","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H0032TS","H0032TS-Treatment Plan Review","FL","10-9999991090-H0032TS","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYEFMA2","SC-001717","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2000HP","H2000HP-Psych Evaluation","FL","10-9999991090-H2000HP","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYEGMA2","SC-001718","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2000HP","H2000HP-Psych Evaluation","FL","10-9999991090-H2000HP","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYEHMA2","SC-001719","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2010","H2010-Brief MH status Exam","FL","10-9999991090-H2010","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYEIMA2","SC-001720","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2010","H2010-Brief MH status Exam","FL","10-9999991090-H2010","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYEJMA2","SC-001721","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2017","H2017-Psychosocial Rehab Group","FL","10-9999991090-H2017","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYEKMA2","SC-001722","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2017","H2017-Psychosocial Rehab Group","FL","10-9999991090-H2017","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYELMA2","SC-001723","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2019HO","H2019HO-Therapeutic Behavioral On-Site Services","FL","10-9999991090-H2019HO","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYEMMA2","SC-001724","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2019HO","H2019HO-Therapeutic Behavioral On-Site Services","FL","10-9999991090-H2019HO","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYEPMA2","SC-001727","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2019HR","H2019HR-Individual/Family Therapy","FL","10-9999991090-H2019HR","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYEQMA2","SC-001728","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","H2019HR","H2019HR-Individual/Family Therapy","FL","10-9999991090-H2019HR","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYERMA2","SC-001729","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","T1015","T1015-Medical Management","FL","10-9999991090-T1015","Ft. Myers","Ft. Myers","Intensive In Home","false","","2012-01-01"
"a0NU0000009rYESMA2","SC-001730","10","9999991090","FL-MNTR-IIH-Ft. Myers-ARY","T1015","T1015-Medical Management","FL","10-9999991090-T1015","Ft. Myers","Ft. Myers","Intensive In Home","true","","2012-01-01"
"a0NU0000009rYETMA2","SC-001731","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90804","90804-Individual Therapy (20-30 min)","FL","10-9999981090-90804","Ft. Myers","Ft. Myers","Outpatient Therapy","false","","2012-01-01"
"a0NU0000009rYEUMA2","SC-001732","10","9999981090","FL-MNTR-OPT-Ft. Myers-ARY","90804","90804-Individual Therapy (20-30 min)","FL","10-9999981090-90804","Ft. Myers","Ft. Myers","Outpatient Therapy","true","","2012-01-01"
