"ID","OWNERID","NAME","LASTMODIFIEDDATE","LASTMODIFIEDBYID","ALIAS__C","CITY__C","FACILITYID__C","PHONE__C","PROGRAMID__C","PROGRAM__C","SERVICE_VALUE__C","SETTING__C","STATE__C","STREET__C","UNIQUEID__C","ZIP__C"
"a0vU0000001FO0sIAG","005U0000001BtzpIAC","365151","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365151","Rochester","5.0","507-289-9280","365151000","MN-REMRB-SL-Oxford-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","3110 Oxford Lane Nw","5||365151000","55901-4177"
"a0vU0000001FO0tIAG","005U0000001BtzpIAC","365152","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365152","Rochester","5.0","507-288-6608","365152000","MN-REMRB-SL-River Court-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","175 N. River Court Ne","5||365152000","55906-2832"
"a0vU0000001FO0uIAG","005U0000001BtzpIAC","365153","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365153","Rochester","5.0","507-252-0543","365153000","MN-REMRB-SL-Willow Heights-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","919  39th St Sw","5||365153000","55902-2814"
"a0vU0000001FO0vIAG","005U0000001BtzpIAC","365154","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365154","Winona","5.0","507-454-4542","365154000","MN-REMRB-SL-Howard-ABI","ABI","Inpatient/Residential","MN","1159 W. Howard","5||365154000","55987-2468"
"a0vU0000001FO0wIAG","005U0000001BtzpIAC","365155","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365155","Goodview","5.0","507-452-0578","365155000","MN-REMRB-SL-Goodview-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","4146 W. 9th St","5||365155000","55987-1725"
"a0vU0000001FO0xIAG","005U0000001BtzpIAC","365150","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365150","Rochester","5.0","507-289-9257","365150000","MN-REMRB-SL-Conway-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","5705 Conway Court Nw","5||365150000","55901-0189"
"a0vU0000001FO0yIAG","005U0000001BtzpIAC","365157","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365157","Rochester","5.0","507-280-4461","365157000","MN-REMRB-SL-Opal-IDD","IDD - Residential Group Home","Inpatient/Residential","MN","4907 Opal Lane Nw","5||365157000","55901-6546"
"a0vU0000001FO0zIAG","005U0000001BtzpIAC","365180","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365180","Rochester","5.0","507-289-3319","365180000","MN-REMRB-CSS-Winona In-Home-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","1905 3rd Ave Se","5||365180000","55904-7935"
"a0vU0000001FO10IAG","005U0000001BtzpIAC","365182","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365182","Rochester","5.0","507-289-3319","365182000","MN-REMRB-CSS-Olmsted In-Home-IDD","IDD - Non-Residential Supported Living/IHSS/Ind Living","Outpatient","MN","1905 3rd Ave Se","5||365182000","55904-7935"
"a0vU0000001FO11IAG","005U0000001BtzpIAC","365186","2013-06-22T19:06:09.000Z","005U0000000NNnWIAW","365186","Rochester","5.0","507-287-6824","365186000","MN-REMRB-CSS-Olmstd Alternativ Servc-IDD","IDD - Non-Residential Other","Outpatient","MN","1621 1/2 10th Street South East","5||365186000","55904-5120"
